fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
515145,515029,251,0,20,1199,4
502102,502150,431,1,44,5844,16
604016,604009,131,0,62,7690,1
513016,513270,272,1,43,8744,1
517091,517090,373,1,40,9167,423
514196,514197,142,0,16,2502,3066
514214,514195,355,0,27,0151,693
513076,513048,722,1,21,0346,10403
511249,511346,311,0,61,5346,3
501150,501200,140,1,29,8094,16
501350,501500,142,1,39,6250,123
501702,501750,421,0,28,3815,651
511281,502301,251,1,35,2881,1128
501951,501853,431,0,21,4978,1423
512061,512062,322,1,28,7828,35
515144,515145,251,0,34,9042,1
500201,504016,131,0,31,8996,10
501151,501101,140,0,22,3394,531
513157,513074,722,1,16,3427,2990
519051,519052,306,0,23,7818,3807
514302,514303,353,0,29,9416,22
519068,519070,306,1,26,3470,10490
514484,514489,357,1,14,9348,9
517032,517033,371,0,19,6155,2322
513165,504008,283,1,32,6130,4
511079,511462,3192,1,29,1605,68
515015,515154,352,1,23,5453,4779
513058,513059,336,1,51,0166,4
513074,513069,722,1,19,7266,1
513214,513001,336,0,22,1957,615
517083,517084,371,0,36,0272,85
502300,502201,421,1,38,9674,397
516171,515142,251,1,20,8110,866
514009,514011,2212,0,29,0419,14
500350,500400,131,1,28,1742,961
514233,514204,347,1,18,8470,3492
500353,500301,431,0,22,1804,1607
513070,513071,722,1,14,0546,6
515244,515197,651,1,28,0074,2742
512207,512123,272,1,39,9309,1
516068,516066,272,0,41,1306,7
501851,601851,271,1,11,4499,11
511222,511283,251,0,46,3398,1
516076,516079,272,1,23,9916,9033
501101,501051,140,0,28,3175,30
513308,513168,336,1,49,9259,2
511021,502201,217,0,23,0822,582
512078,513252,321,1,27,9272,741
511250,511264,311,0,21,5775,7
513162,514097,283,0,29,0812,141
600159,500159,140,0,23,1047,1804
604017,604009,437,0,21,6078,50
500300,500350,131,1,28,7336,437
516195,516139,251,1,25,8193,941
514475,514476,385,1,6,2112,1
500051,600051,371,0,22,3448,18171
500251,500201,131,0,23,3656,5934
502313,511016,318,1,34,3305,327
514307,514308,353,1,38,0631,1
514381,514368,283,1,27,1096,861
500800,500850,421,0,54,8507,2
513104,514014,2212,1,32,4080,8
517065,517066,376,1,48,4092,3
502201,502151,131,0,21,7562,2
513168,513014,336,1,46,2006,4
502251,502201,131,0,29,4851,144
502351,512020,142,1,45,7143,239
511283,511277,251,0,33,5244,3
514233,514481,142,0,43,0107,4
516168,516169,2212,1,27,6793,6
504009,500200,437,1,41,6008,143
514305,514381,353,0,28,3379,148
514095,514096,283,1,18,2330,301
514207,514039,142,1,35,5406,11
512057,502400,272,0,15,2014,2
604015,504015,283,1,24,6968,9614
513024,513025,321,1,21,7253,3
512021,512054,272,1,29,9199,11
511339,511135,318,0,35,5784,184
504005,604005,333,1,31,9742,15314
514444,514475,385,1,38,0821,34
600161,500161,385,1,33,9467,9
512023,502400,427,1,22,7387,88
514367,514287,385,0,14,8292,1
511483,511407,3133,0,22,6474,310
501500,501550,150,1,29,8371,2396
502250,502303,2273,1,29,6954,17
500161,514367,353,1,22,9805,28167
502303,502251,2273,0,53,2365,3
511235,511243,272,1,26,4131,5
514537,514033,251,0,50,9801,1
503001,603001,282,0,19,1894,4351
515021,514379,2141,1,7,1514,33
500700,500650,131,0,24,5975,1409
502200,502300,431,1,30,0691,156
517278,517038,3721,1,26,0057,9
518060,518149,251,1,19,4129,1521
500400,500602,437,1,28,1094,888
501051,500163,140,0,32,9002,101
502103,502001,217,0,26,5389,1606
516056,516058,272,1,36,4928,8
515061,515012,352,1,27,0181,229
517020,517025,371,1,56,8188,1
511221,511338,318,1,50,8934,8
513152,513153,283,1,46,8733,59
514483,514206,251,1,16,0231,3
512104,512072,305,0,25,6962,366
517027,517029,371,1,58,0049,2
514415,514081,355,0,36,9670,19
514196,514197,355,1,47,2285,4
514157,514080,283,1,42,3171,66
512163,512164,324,0,26,9151,3091
613316,513316,333,1,27,6080,1768
502850,502800,150,0,32,4869,285
514368,514369,283,1,27,0013,1528
514001,511282,251,0,34,0262,476
614432,618196,357,1,23,1682,49
511221,511339,318,1,49,9326,71
503004,518058,251,1,25,3327,343
516066,516063,272,0,29,0869,4
500751,500851,142,0,18,7535,537
514210,514211,347,0,33,1707,6
500102,513254,282,0,9,3893,8
513110,513014,332,1,40,9649,28
501450,501500,140,1,27,7829,342
514055,514056,347,0,30,2789,34
511408,511100,3133,0,23,4289,43
514405,514206,347,0,20,0733,4109
514483,514206,142,0,16,1903,73
501701,501651,131,0,22,7129,760
513185,613185,332,1,19,0909,5780
514369,514401,283,1,20,3919,377
519043,519112,305,0,29,2038,1229
514232,514233,142,0,35,4910,11
517015,500058,376,1,25,3237,1531
517196,517064,370,1,13,6169,6037
513309,513215,332,1,40,5133,29
514292,514293,385,0,39,4093,18
501753,501701,131,0,19,3853,557
512024,512133,2242,0,33,5349,3
519109,519110,304,0,45,5828,1
519081,519082,303,1,23,0269,30136
515030,515147,251,0,56,5761,1
501405,500353,431,0,25,4878,4214
516144,516249,377,1,23,2819,26805
514021,514467,347,1,31,6728,83
514076,514081,251,0,25,4183,6
502200,502250,2273,1,17,3414,2
514212,514213,347,0,28,2010,6
514426,514290,385,0,34,7516,68
502001,501951,441,0,24,2547,93
501403,501351,140,0,25,2005,4346
516196,516197,377,1,29,9145,63
600163,600158,441,0,21,7473,134
519068,519070,302,1,24,6255,5728
514213,514214,355,0,41,1457,2
519108,519264,370,1,26,7853,129
514309,515127,353,1,31,9290,38
514198,514199,142,0,28,8425,9
500055,517214,375,1,23,3662,12062
514433,514379,355,0,37,2596,20
604005,613316,333,1,24,8532,460
501300,501350,441,1,26,5592,111
500601,500700,131,0,26,4142,334
513138,513136,336,0,27,1208,16730
500301,500251,431,0,33,7249,6
519110,519093,304,0,25,1829,56466
514534,514202,347,1,48,4513,86
500110,500111,552,1,12,2309,148
512032,512033,322,1,22,3385,453
513167,513168,332,1,44,2485,40
600102,500102,2212,0,11,9531,29
511083,511054,3192,0,32,7561,6
514211,514147,347,0,33,6441,5
501852,501950,431,1,12,6522,215
511430,511431,551,1,27,2730,2455
501002,501602,131,1,30,5873,460
511343,511136,318,0,44,5272,47
515241,515139,651,1,22,5958,8438
511261,511249,311,0,64,1297,3
602601,502601,452,0,27,7240,3113
514374,514376,2141,0,22,4699,50
501050,501100,441,1,28,8566,1415
502102,502150,217,1,39,8256,216
519092,519081,303,1,19,6773,27409
517072,517171,376,1,30,9191,60
513150,513151,283,1,47,5579,4
512035,512182,427,1,35,3558,172
501750,501800,131,1,30,7562,54
519121,519284,2211,1,21,0203,3
500751,500851,140,0,33,1198,297
501500,501550,437,0,20,7235,1422
516019,516020,2273,0,20,0257,64
513318,513316,553,1,23,0633,647
511347,511194,311,1,62,7264,2
600158,500158,441,0,21,0243,6790
512178,512024,2242,0,35,0003,2
516090,515142,2141,0,20,4477,476
514432,614432,357,1,28,2704,1120
511132,511335,318,1,51,9820,38
514205,514405,347,1,25,9624,5089
519109,519110,370,1,22,0105,609
500950,501351,142,0,24,5872,154
